seed,scenario,years,paths,finalP05,finalP10,finalP25,finalMedian,finalP75,finalP90,finalP95,drawdownMedian,drawdownP90,probabilityAboveContributions,recoveryMedianMonths,recoveryRate
206369,immediate,20,4000,44480.10415830,71576.18079266,93275.43042596,123922.34078674,164709.54903486,227804.37528198,275849.38056413,0.27080839,0.38298574,0.86075000,1.00000000,1.00000000
206369,progressive-6,20,4000,44022.45152968,70911.07992095,92376.23075926,122578.53684335,162841.85739737,224727.77931197,272083.98170930,0.27125135,0.38217680,0.85975000,1.00000000,1.00000000
206369,progressive-12,20,4000,43445.32907991,70098.98194593,91297.50719345,120960.56864180,160610.38992040,221556.62903678,268084.78322941,0.27180920,0.38161874,0.85875000,1.00000000,1.00000000
206369,delayed-12,20,4000,42231.45650925,68211.20184723,88769.10312954,117515.84008518,155821.95880682,214231.38637711,259375.98706304,0.27559661,0.38386215,0.85600000,1.00000000,1.00000000
206369,no-restart,20,4000,8771.14141984,15637.30692202,23213.89514997,35748.24101007,55108.41334455,84878.72634991,111200.07409289,0.38341058,0.56607624,0.87025000,1.00000000,0.98125000
104729,immediate,30,4000,63774.61269632,117492.21327665,163277.96075242,228306.13292475,324602.31739033,488925.77654034,626474.97263208,0.33072704,0.45618007,0.90925000,1.00000000,1.00000000
104729,progressive-6,30,4000,63250.80563849,116488.69676314,161783.58318773,226176.72274040,321464.69655734,483564.77161132,619352.08885313,0.33064337,0.45516410,0.90950000,1.00000000,1.00000000
104729,progressive-12,30,4000,62589.11235726,115484.03455304,159996.61261187,223831.47621608,318051.13774968,477516.05610091,611484.72184960,0.32992874,0.45462836,0.90925000,1.00000000,1.00000000
104729,delayed-12,30,4000,61180.30618960,113287.74820539,156052.97948325,218421.78683375,310523.28761087,462099.22883495,593873.55200841,0.33112706,0.45253966,0.90875000,1.00000000,1.00000000
104729,no-restart,30,4000,9849.66282385,18308.90778657,29228.14838371,52138.44194066,90196.71786518,150242.91880578,205411.93215562,0.43681020,0.61211870,0.91375000,1.00000000,0.99050000
130363,immediate,30,4000,63629.25922431,117230.50518214,162941.30044885,227811.42769874,323877.29495764,487670.90420803,624812.03042098,0.33071190,0.45616180,0.90850000,1.00000000,1.00000000
130363,progressive-6,30,4000,63106.55159484,116229.36017680,161452.37036229,225686.68144924,320745.43788450,482323.97523940,617702.81241213,0.33062729,0.45514664,0.90875000,1.00000000,1.00000000
130363,progressive-12,30,4000,62446.39254479,115225.25806175,159670.04531640,223346.62253492,317339.49948906,476290.76866313,609850.52311865,0.32991357,0.45460976,0.90850000,1.00000000,1.00000000
130363,delayed-12,30,4000,61042.55319674,113031.97713069,155737.79304151,217948.57751944,309834.12634048,460923.05551972,592289.71367939,0.33110862,0.45252301,0.90800000,1.00000000,1.00000000
130363,no-restart,30,4000,9823.56262733,18257.50158001,29163.43320662,52023.95721648,89997.23678194,149861.05583848,204858.05371939,0.43680111,0.61210274,0.91300000,1.00000000,0.99050000
155921,immediate,30,4000,63082.55477072,116308.47462093,161620.27914942,225969.65432236,321243.53107113,483972.88488255,620075.88213247,0.33067347,0.45611411,0.90625000,1.00000000,1.00000000
155921,progressive-6,30,4000,62565.41237344,115315.45415512,160141.33362443,223859.34971303,318136.62120459,478671.71153454,613010.74182459,0.33058801,0.45509971,0.90650000,1.00000000,1.00000000
155921,progressive-12,30,4000,61912.37502615,114319.67169320,158370.20544951,221534.42322328,314758.35238562,472687.96290874,605209.38822613,0.32987577,0.45456062,0.90625000,1.00000000,1.00000000
155921,delayed-12,30,4000,60522.81293825,112147.42222191,154462.05481831,216173.12251805,307313.57101696,457451.67632880,587724.27086570,0.33106570,0.45247943,0.90575000,1.00000000,1.00000000
155921,no-restart,30,4000,9720.10605532,18082.86972293,28902.88989403,51461.36416173,89254.63401014,148780.81469984,203208.79331221,0.43676801,0.61205837,0.91100000,1.00000000,0.98950000
181081,immediate,30,4000,63786.18807268,117512.27841148,163302.76773516,228344.82728785,324658.14809305,489023.00527117,626608.57762495,0.33073038,0.45618380,0.90950000,1.00000000,1.00000000
181081,progressive-6,30,4000,63262.13398553,116508.93493130,161807.44032104,226215.74919064,321519.61537428,483661.00188512,619483.66212792,0.33064670,0.45516780,0.90975000,1.00000000,1.00000000
181081,progressive-12,30,4000,62600.21646269,115504.04587350,160018.80471251,223869.21746824,318106.03960869,477610.89073150,611615.11670862,0.32993207,0.45463207,0.90950000,1.00000000,1.00000000
181081,delayed-12,30,4000,61190.68407711,113307.38874086,156072.64399051,218457.50342241,310576.56984210,462188.13815238,594000.40195484,0.33113036,0.45254333,0.90900000,1.00000000,1.00000000
