behavior,reserve_months,line_count,asset_volatility,years,replications,paths,median_final,p10,p90,drawdown_median,forced_withdrawal_median
regular,0,5,0.12000000,10,5,1500,61907.55799425,48544.96556888,78815.43261919,0.07420008,0.00000000
regular,0,5,0.12000000,20,5,1500,141809.51805307,103766.02838615,198552.66512844,0.11638090,0.00000000
regular,0,5,0.12000000,30,5,1500,271457.02698986,179424.51509883,411118.98481938,0.14780380,0.00000000
regular,0,5,0.20000000,5,5,1500,32006.30275394,24752.06417759,43400.49174626,0.10853406,0.00000000
regular,0,5,0.20000000,10,5,1500,59720.04485026,40822.95221156,87295.85110969,0.16522501,0.00000000
regular,0,5,0.20000000,20,5,1500,132893.50547966,78246.74861816,235141.12003591,0.24324966,0.00000000
regular,0,5,0.20000000,30,5,1500,233270.54916770,129751.07582276,498247.29856963,0.30002587,0.00000000
regular,0,15,0.12000000,5,5,1500,33000.56688407,28177.30200028,38446.10326546,0.03792840,0.00000000
regular,0,15,0.12000000,10,5,1500,61385.50147228,49674.79925442,76087.80945647,0.06400228,0.00000000
regular,0,15,0.12000000,20,5,1500,145649.71342459,107487.55480423,195448.41816040,0.09907365,0.00000000
regular,0,15,0.12000000,30,5,1500,274834.75298737,192629.92772979,398223.09463893,0.12507085,0.00000000
regular,0,15,0.20000000,5,5,1500,32329.36392667,24741.62460043,41838.22801612,0.09276474,0.00000000
regular,0,15,0.20000000,10,5,1500,59119.24421272,42561.88361302,85327.93743533,0.14498225,0.00000000
regular,0,15,0.20000000,20,5,1500,136850.43839530,86733.21426956,220583.64352425,0.21244982,0.00000000
regular,0,15,0.20000000,30,5,1500,251610.51301434,144090.57033519,479526.26202896,0.26198833,0.00000000
regular,6,5,0.12000000,5,5,1500,32984.36332158,28050.70941961,39098.58424487,0.04590158,0.00000000
regular,6,5,0.12000000,10,5,1500,61732.55160279,48253.94331996,77388.19403428,0.07358476,0.00000000
regular,6,5,0.12000000,20,5,1500,144223.74749850,101938.57505969,202169.82225444,0.11810005,0.00000000
regular,6,5,0.12000000,30,5,1500,268970.98591216,183696.34959197,407168.87914182,0.14566235,0.00000000
regular,6,5,0.20000000,5,5,1500,32342.69656862,24705.62634640,42491.33801566,0.10943528,0.00000000
regular,6,5,0.20000000,10,5,1500,58639.78000194,40947.03035555,90050.10987934,0.16298099,0.00000000
regular,6,5,0.20000000,20,5,1500,129499.73782683,78143.13756774,235577.52074266,0.24561365,0.00000000
regular,6,5,0.20000000,30,5,1500,247326.87620963,131929.07201864,509954.55392097,0.29931914,0.00000000
regular,6,15,0.12000000,5,5,1500,32885.98236495,28184.32408395,39390.65969573,0.03847893,0.00000000
regular,6,15,0.12000000,10,5,1500,62153.31940609,50627.45290004,76366.77866572,0.06315362,0.00000000
regular,6,15,0.12000000,20,5,1500,143071.72681352,107090.06778510,198729.21864611,0.09956411,0.00000000
regular,6,15,0.12000000,30,5,1500,277018.56899012,186948.30496827,407303.97927416,0.12535404,0.00000000
regular,6,15,0.20000000,5,5,1500,32325.88041578,24842.17976401,41481.79603346,0.09192460,0.00000000
regular,6,15,0.20000000,10,5,1500,60336.78956435,43198.55665832,85439.31790266,0.14079035,0.00000000
regular,6,15,0.20000000,20,5,1500,132586.09098586,84192.62611419,222048.19667839,0.21792242,0.00000000
regular,6,15,0.20000000,30,5,1500,245099.47028623,145050.05172397,468858.18870880,0.26378960,0.00000000
